#separator:tab
#html:true
Front	Back	Tags
Why does a new service worker not take effect on reload?	It installs and waits until every page controlled by the old worker is closed; a reload keeps the old worker alive. You must detect the waiting worker and call `skipWaiting` plus a reload, ideally with user consent.	frontend offline-and-sync offline IndexedDB outbox sync
What does `navigator.storage.persist()` do?	Requests the persistent storage bucket so your origin is exempt from ordinary eviction. It can be denied based on engagement signals, so check the returned value -- especially on Safari, which clears script-writable storage after seven days of non-use.	frontend offline-and-sync offline IndexedDB outbox sync
Why does a sync change feed need tombstones?	A client cannot infer deletion from absence, so deletions must be explicit events. Tombstones need a retention window, and a client with a cursor older than that window must be forced into a full resync.	frontend offline-and-sync offline IndexedDB outbox sync
Why does full-document last-write-wins lose edits?	Each client sends a complete state built from what it last saw, so the later write asserts values for text the other user changed. One person's edit is overwritten with no error. Sending operations rather than states is what makes both preservable.	frontend collaborative-editing CRDT OT collaboration
What does Operational Transformation do?	A central server rewrites an incoming operation against every operation committed since its base revision -- adjusting indices so intent survives -- then applies it. Clients mirror the transform for concurrent remote operations.	frontend collaborative-editing CRDT OT collaboration
Why is OT risky to implement yourself?	You need a transform function for every ordered pair of operation types, so the matrix grows quadratically, each entry must satisfy transformation property 1, and a single wrong entry diverges only under specific concurrent timing. Several published algorithms shipped incorrect.	frontend collaborative-editing CRDT OT collaboration
How does a sequence CRDT avoid index-based positions?	Every element gets a globally unique immutable id -- client id plus counter -- and inserts are expressed relative to a neighbour's id. Deletes leave tombstones, because removing an element would invalidate operations referencing it.	frontend collaborative-editing CRDT OT collaboration
Name four CRDT families and their use.	LWW-Register for scalar fields where one value must win; PN-Counter for increments that must all count; OR-Set for tags and collaborator lists; sequence CRDTs such as RGA or YATA for text and lists.	frontend collaborative-editing CRDT OT collaboration
What do CRDTs not solve?	Intent -- convergence is not meaning; authorisation -- the merge function rejects nothing; garbage collection -- tombstones grow monotonically; rich-text semantics across concurrent structural edits; and per-user undo.	frontend collaborative-editing CRDT OT collaboration
Why server-authoritative rather than peer-to-peer for a CRDT document?	You need one enforceable authorisation point, durable storage when nobody is online, an audit trail, and debuggability. Peer-to-peer additionally brings NAT traversal, TURN relays and N² mesh growth. Use peer-to-peer for awareness only.	frontend collaborative-editing CRDT OT collaboration
What problem do snapshots solve?	Two. Load time, since append-only update logs otherwise replay the document's entire history. And garbage collection, since a snapshot defines a horizon past which clients must reload rather than merge, which makes tombstone compaction safe.	frontend collaborative-editing CRDT OT collaboration
Why must undo be scoped by origin?	Users expect ctrl-Z to revert their own last change, not the document's. Without origin tracking you undo whatever a collaborator just typed, which users correctly report as data loss.	frontend collaborative-editing CRDT OT collaboration
What are the Core Web Vitals thresholds, and at what percentile?	LCP ≤ 2.5 s, CLS ≤ 0.1, INP ≤ 200 ms, all evaluated at the 75th percentile of page loads. p75 means one in four users can be worse and you still pass, which is why segmenting by device and geography matters more than the aggregate.	frontend web-performance performance Core-Web-Vitals budgets RUM
Why is INP harder than the FID it replaced in March 2024?	FID measured only the input delay of the first interaction -- essentially queueing time -- so a page could pass while every interaction took a second to show a result. INP measures input to next paint for approximately the worst interaction, so it includes the handler and the rendering that follows.	frontend web-performance performance Core-Web-Vitals budgets RUM
What are the three parts of INP, and why does the split matter?	Input delay (waiting for a free main thread), processing time (your handler), presentation delay (rendering the frame). If most of it is input delay, the handler is irrelevant and you need to find the long task blocking the thread -- usually hydration or a third-party script.	frontend web-performance performance Core-Web-Vitals budgets RUM
What does LCP decompose into, and which slice is usually largest?	TTFB, resource load delay, resource load duration, and element render delay. Load *delay* is often the biggest -- the image was discovered late because it was referenced from CSS, injected by JavaScript, or lazy-loaded. That is a preload and `fetchpriority` fix, not a compression fix.	frontend web-performance performance Core-Web-Vitals budgets RUM
Name four reasons lab and field data disagree.	Device distribution (real traffic spans a 5x CPU range), cache state (lab is always cold), network reality (packet loss and the 100-500 ms mobile radio promotion), and interaction (lab tools never click, so INP is unmeasurable and TBT is only a proxy). Plus geography and unfiltered bot traffic.	frontend web-performance performance Core-Web-Vitals budgets RUM
What is the most common LCP bug in the wild?	A lazy-loaded hero image. `loading="lazy"` tells the browser to deliberately defer the most important resource on the page, adding hundreds of milliseconds. Use `loading="eager"`, `fetchpriority="high"` and a `preload` for anything that could be the LCP element.	frontend web-performance performance Core-Web-Vitals budgets RUM
FOIT vs FOUT -- which do you choose and how do you mitigate it?	`font-display: block` gives FOIT, up to 3 s of invisible text which can delay LCP entirely. `font-display: swap` gives FOUT, immediate fallback text with a shift on swap. Choose swap, then remove the shift with `size-adjust`, `ascent-override` and `descent-override` on a fallback `@font-face`.	frontend web-performance performance Core-Web-Vitals budgets RUM
Why is a single Lighthouse run a bad CI gate?	Variance is high enough to produce false failures, and a flaky gate gets disabled within a month. Take the median of about five runs, keep deterministic bundle-size checks as the first line on every PR, and provide a named override path so the gate is not deleted during an incident.	frontend web-performance performance Core-Web-Vitals budgets RUM
How do you make a credible business case for performance work?	Cite published figures with their source and audience (Vodafone +8% sales from a 31% LCP improvement; Deloitte +8.4% retail conversion per 0.1 s) as evidence the mechanism is real, then segment your own funnel by metric bucket while naming the confounders, then run a holdback -- 90% treated, 10% on the old path -- for a causal number.	frontend web-performance performance Core-Web-Vitals budgets RUM
Why is XSS the highest-priority frontend vulnerability?	Injected script runs as your origin, so it reads non-`HttpOnly` cookies and storage, reads the DOM including typed input, and issues fully authenticated requests. Every other frontend control is downstream of not having it.	frontend frontend-security XSS CSP CSRF supply-chain
What is DOM-based XSS?	Your own JavaScript reads an attacker-influenced value -- a query parameter, a fragment, a `postMessage` -- and writes it to a dangerous sink like `innerHTML` or a `javascript:` URL. The server is never involved, so server-side filtering cannot help.	frontend frontend-security XSS CSP CSRF supply-chain
Why nonce plus `strict-dynamic` instead of a host allowlist?	Allowlisting a host trusts every endpoint on it, and JSONP callbacks or open redirects on allowlisted domains let an attacker get code served from a trusted origin. Nonces trust specific script instances, and `strict-dynamic` makes browsers ignore host allowlists.	frontend frontend-security XSS CSP CSRF supply-chain
What does Trusted Types change?	With `require-trusted-types-for 'script'`, dangerous sinks reject plain strings and accept only objects from a registered policy. The review surface collapses from every sink usage to a handful of policies.	frontend frontend-security XSS CSP CSRF supply-chain
Difference between `SameSite=Lax` and `Strict`?	`Lax` sends the cookie on same-site requests and on top-level cross-site `GET` navigations, blocking cross-site `POST`. `Strict` withholds it even on a top-level navigation, so users arriving from an email link appear logged out.	frontend frontend-security XSS CSP CSRF supply-chain
Why is `SameSite=Lax` insufficient on its own?	It is same-*site*, not same-*origin*. A compromised subdomain such as `blog.acme.com` is the same site as `app.acme.com` and can issue requests carrying your cookie. Add a double-submit or synchroniser token and an `Origin` check.	frontend frontend-security XSS CSP CSRF supply-chain
The honest difference between `localStorage` and `HttpOnly` for tokens?	Exfiltration. With XSS an attacker can make requests either way, but a `localStorage` token can be sent to their server and replayed off-device for its full lifetime. An `HttpOnly` cookie cannot leave the browser, confining them to the live page.	frontend frontend-security XSS CSP CSRF supply-chain
What does PKCE protect against, and what does it not?	It stops an intercepted authorisation code from being exchanged, since the attacker lacks the `code_verifier` behind the SHA-256 challenge. It does not cover CSRF on the redirect itself -- that is still the `state` parameter's job.	frontend frontend-security XSS CSP CSRF supply-chain
What is dependency confusion?	If an internal package name is unregistered publicly, an attacker publishes it to the public registry and build systems configured with both may prefer it, executing their code in your pipeline. Fix it by mapping your scope to the internal registry in `.npmrc`.	frontend frontend-security XSS CSP CSRF supply-chain
Why report metrics on `visibilitychange` rather than `unload`?	`unload` is unreliable and never fires when a mobile tab is discarded, while `visibilitychange` to hidden always does. `sendBeacon` there survives page teardown, and CLS and INP are only final at page hide anyway.	frontend frontend-observability observability RUM errors tracing
What does web-vitals attribution add?	It decomposes a metric into actionable parts -- which element was the LCP candidate, and how the time split between time-to-first-byte, resource load delay, load time and render delay -- turning "LCP is 3.8 s" into a specific thing to fix.	frontend frontend-observability observability RUM errors tracing
Why normalise route patterns before sending telemetry?	Raw URLs with ids create unbounded cardinality, which is the usual cause of a telemetry bill tripling with no feature shipped, and it makes dashboards slow or unusable. Keep the raw URL as an unindexed attribute.	frontend frontend-observability observability RUM errors tracing
Why is the release identifier the most valuable field on an event?	It enables error rate and p75 vitals per release, which is what turns a rollback decision from a debate into evidence -- and it is the signal automated canary analysis reads.	frontend frontend-observability observability RUM errors tracing
Sensible sampling rates by signal?	Vitals 5-10% of sessions; errors 100% with fingerprint deduplication; resource timing 1-2%; custom business metrics 100%; session replay 0.1-1% biased toward error sessions; long tasks and profiles around 1%.	frontend frontend-observability observability RUM errors tracing
Why sample deterministically per session?	So a sampled session sends all of its events and the story is coherent. Per-event sampling gives you fragments, and sampling by event rather than session biases toward long sessions.	frontend frontend-observability observability RUM errors tracing
Why must session-replay masking be default-deny?	A denylist does not survive the next feature -- the engineer adding a field will not know it exists. Mask everything and explicitly unmask what you need; exclude credential and card fields entirely rather than masking them.	frontend frontend-observability observability RUM errors tracing
What does `traceparent` carry and what breaks when you add it?	Version, a 32-hex trace id, a 16-hex parent span id, and flags whose low bit is the sampled flag. It is not CORS-safelisted, so cross-origin calls need it in `Access-Control-Allow-Headers` or the preflight fails.	frontend frontend-observability observability RUM errors tracing
Why alert on percentiles per cohort instead of global averages?	A tripling of LCP for 8% of users barely moves a global mean and crosses no threshold. Alert on change against each cohort's own trailing baseline, with a minimum sample size so small cohorts do not page you on noise.	frontend frontend-observability observability RUM errors tracing
Why is a frontend deploy not a version replacement?	You cannot take the old version out of service. Users hold builds in memory until they reload, so production always runs several versions at once and your compatibility window is roughly your p99 session duration.	frontend deployment-and-rollout deployment canary migration flags
Why must a deploy never delete old assets?	Browsers hold HTML referencing the previous build's hashed chunks. Deleting them makes those dynamic imports 404, producing chunk-load errors and white screens -- often minutes later, on a lazily-loaded route. Retain 30 days.	frontend deployment-and-rollout deployment canary migration flags
The two-policy caching split for a deployable frontend?	Hashed assets get `max-age=31536000, immutable`. HTML gets `max-age=0, s-maxage=60, stale-while-revalidate=600`, so deploys propagate in seconds and a bad deploy is a minute of exposure.	frontend deployment-and-rollout deployment canary migration flags
Why must canary bucketing be deterministic?	Random per-request assignment gives a user HTML from one build and cached chunks from another. Hash a stable id, compare against the rollout percentage, and persist the result in a cookie set at the edge.	frontend deployment-and-rollout deployment canary migration flags
Which metrics make a canary gate actually work?	Unhandled error rate per session, chunk-load error rate specifically, p75 INP and LCP for the cohort, and at least one funnel metric -- compared against concurrent baseline traffic with a minimum sample size.	frontend deployment-and-rollout deployment canary migration flags
What are the three phases of expand-migrate-contract?	Expand: add the new thing alongside the old so every live version still works. Migrate: move readers and writers, backfill, and instrument old-path usage by client version. Contract: remove the old path once that usage has been zero longer than your compatibility window.	frontend deployment-and-rollout deployment canary migration flags
How do you safely kill an endpoint?	Instrument per-caller usage, announce with `Deprecation` and `Sunset` headers, then brownout -- return 410 for a minute at a quiet hour and see who complains -- before removing. Grepping the codebase misses callers you do not control.	frontend deployment-and-rollout deployment canary migration flags
Four flag types and their lifecycles?	Release flags: temporary, 30-90 day expiry enforced by CI. Experiment flags: removed as part of the experiment's definition of done. Operational kill switches: permanent, but test the off path. Permission flags: not flags at all -- move them into the authorisation model.	frontend deployment-and-rollout deployment canary migration flags
What makes per-remote rollback possible in a federated frontend?	Resolving remote versions from a short-TTL runtime manifest rather than hardcoding URLs in the host build, so rolling back one team's remote is a pointer flip that needs no rebuild and no shell deploy.	frontend deployment-and-rollout deployment canary migration flags
Why does an L4 load balancer create imbalance with HTTP/2 or gRPC?	It balances once per TCP connection. HTTP/2 multiplexes many requests onto one long-lived connection, so a client is pinned to one backend for the connection's lifetime and new instances never receive its traffic.	backend request-lifecycle load-balancing concurrency latency pooling
Why does least-connections beat round robin under variable request cost?	In-flight count is a free proxy for how busy a backend is. Round robin sends a cheap request to a node already stuck behind slow ones, creating queueing delay at the balancer. Least-connections routes around it.	backend request-lifecycle load-balancing concurrency latency pooling
What is the failure mode of least-connections?	A backend failing fast has near-zero in-flight requests, so it looks idlest and attracts the most traffic. Pair it with outlier detection that ejects hosts on consecutive 5xx.	backend request-lifecycle load-balancing concurrency latency pooling
State Little's Law and apply it to a connection pool.	`L = λ × W`. Busy connections equal query throughput times average query duration. At 2,400 queries/s and 4 ms each you need about 10 busy connections; size for p95 hold time, not p50.	backend request-lifecycle load-balancing concurrency latency pooling
Why does Postgres need pgBouncer while MySQL tolerates more connections?	Postgres forks an OS process per connection, each with its own memory and a slot in snapshot computation, so throughput degrades past a few hundred. A transaction-mode pooler multiplexes hundreds of clients onto tens of server connections.	backend request-lifecycle load-balancing concurrency latency pooling
Why can a bigger connection pool make p99 worse?	It moves queueing from your application into the database, where the wait is unbounded, unprioritised, invisible to your timeouts and not exposed as a metric.	backend request-lifecycle load-balancing concurrency latency pooling
What breaks when a CPU-bound handler runs on an event loop?	It blocks every in-flight request on that instance, so latency rises uniformly across unrelated routes. Watch event-loop lag, not CPU, and move the work off the loop.	backend request-lifecycle load-balancing concurrency latency pooling
Why must virtual threads be paired with an explicit concurrency limit?	The old thread pool was also the admission control. Virtual threads are effectively unbounded, so a slow dependency lets requests accumulate until the process dies of memory instead of shedding load. Reintroduce the bound with a semaphore or bulkhead.	backend request-lifecycle load-balancing concurrency latency pooling
Which single metric most often explains p99 that queries cannot?	Connection acquisition wait time. Database instrumentation starts the clock when the query is sent, so time spent waiting for a pooled connection is invisible to it.	backend request-lifecycle load-balancing concurrency latency pooling
Why must an idempotency key be per-operation rather than per-attempt?	The whole point is that the server recognises a retry of the same intent. A new key per attempt makes every retry a distinct operation, so a lost response becomes a duplicate write while the code looks correct.	backend api-design-backend REST gRPC idempotency versioning
How do you handle two concurrent retries with the same idempotency key?	Claim the key with a unique-constrained insert. The loser sees state `in_flight` and returns `409` with `Retry-After` rather than executing; once the winner commits `completed`, subsequent calls replay the stored response.	backend api-design-backend REST gRPC idempotency versioning
Why hash the request body alongside the idempotency key?	Same key with a different body is a client bug. Replaying the old response would hide it, so return `422 idempotency-key-reused` instead.	backend api-design-backend REST gRPC idempotency versioning
Why does `LIMIT 20 OFFSET 100000` get slow?	The database reads and discards 100,000 rows to locate the window, so cost grows linearly with page depth. It is also unstable: concurrent inserts shift the offset and rows get skipped.	backend api-design-backend REST gRPC idempotency versioning
What two details make keyset pagination correct?	A unique sort key -- compare a tuple like `(created_at, id)` so duplicate timestamps cannot repeat or drop rows -- and an opaque, ideally signed cursor so clients cannot construct one and you can change the sort key later.	backend api-design-backend REST gRPC idempotency versioning
Difference between a timeout and a deadline?	A timeout is a per-hop duration and therefore multiplies down a call chain. A deadline is an absolute instant shared by the whole tree; each hop spends what remains minus its own reserve, so total time stays bounded.	backend api-design-backend REST gRPC idempotency versioning
What should `500` versus `503` versus `504` tell a client?	`500` is an unexpected bug -- retry only if idempotent. `503` is temporary unavailability or shedding -- retry with backoff, honouring `Retry-After`. `504` is an upstream deadline -- the work may still be running, so retry cautiously.	backend api-design-backend REST gRPC idempotency versioning
Which protobuf changes are safe?	Adding a field with a fresh tag, widening `int32` to `int64`, and removing a field *if* you `reserved` its tag and name. Changing a tag number, changing wire type, altering cardinality, or moving a field into a `oneof` are breaking.	backend api-design-backend REST gRPC idempotency versioning
Why does every protobuf enum need a zero value named `UNSPECIFIED`?	Unknown enum values decode to the zero value in old readers. If zero is a real business meaning, a newly added value silently becomes that meaning; if zero is `UNSPECIFIED`, the client can detect and log it.	backend api-design-backend REST gRPC idempotency versioning
Why is a B+tree lookup fast even on a 100 million row table?	Fan-out of ~300 per 8 KB page means four levels address billions of entries, and the upper levels stay cached. A point lookup is one or two real disk reads regardless of table size.	backend databases-and-indexes indexes B-tree query-plan Postgres
State the leftmost-prefix rule.	An index on `(a, b, c)` can seek on `a`, `(a, b)`, or `(a, b, c)` -- any leftmost prefix. It cannot seek on `b` alone, because `b` values are scattered across every value of `a`.	backend databases-and-indexes indexes B-tree query-plan Postgres
Where does a range predicate belong in a composite index, and why?	Last. A range consumes the rest of the index because columns after it are not globally ordered within the range, so they degrade to row-by-row filters.	backend databases-and-indexes indexes B-tree query-plan Postgres
What is an index-only scan, and what can silently break it in Postgres?	The query is answered from index leaves with no heap access. It requires pages marked all-visible in the visibility map, so when autovacuum falls behind, `Heap Fetches` becomes non-zero and the plan quietly gets slower.	backend databases-and-indexes indexes B-tree query-plan Postgres
When is the planner right to choose a sequential scan?	When selectivity is poor -- roughly above 5-10% of the table. Sequential I/O is about an order of magnitude cheaper per page than random heap fetches, so scanning beats looking up most of a table.	backend databases-and-indexes indexes B-tree query-plan Postgres
What is a bitmap heap scan and when does Postgres use it?	It collects matching row pointers from an index, sorts them by physical page, then reads each page once. It is chosen at medium selectivity -- too many rows for per-row random fetches, too few for a full scan.	backend databases-and-indexes indexes B-tree query-plan Postgres
Why is a UUIDv4 primary key bad in InnoDB?	Rows live inside the clustered PK tree, so random keys cause page splits and fragmentation on insert, and every secondary index stores the 16-byte PK as its pointer. A monotonic bigint or UUIDv7 avoids the insert problem.	backend databases-and-indexes indexes B-tree query-plan Postgres
Give the write cost of an index in Postgres specifically.	A non-HOT update writes a new tuple version and must add an entry to every index on the table, even for unindexed columns. That multiplies WAL sent to disk, replicas and backups. `fillfactor` enables HOT updates when no indexed column changed.	backend databases-and-indexes indexes B-tree query-plan Postgres
Why is an N+1 query pattern hard to spot in database metrics?	Each individual query is fast and well indexed, so nothing appears in slow-query logs. It shows up only as queries-per-request in a trace, and its cost scales linearly with page size.	backend databases-and-indexes indexes B-tree query-plan Postgres
What does the C in ACID actually guarantee?	Only that constraints you declared -- keys, checks, foreign keys -- hold at commit. A business invariant such as "balance never goes negative" is protected only if it is an actual `CHECK` constraint.	backend transactions-and-isolation ACID MVCC isolation locking
Explain MVCC visibility in Postgres via xmin and xmax.	Each tuple records the creating transaction (`xmin`) and the deleting/superseding one (`xmax`). A snapshot sees a tuple if `xmin` committed before the snapshot and `xmax` is unset or uncommitted. Readers and writers therefore never block each other.	backend transactions-and-isolation ACID MVCC isolation locking
Why can one idle transaction bloat your whole database?	Vacuum can only remove a tuple version once no live snapshot could need it. An old snapshot pins that horizon cluster-wide, so dead tuples accumulate on tables the session never touched, and index-only scans degrade as the visibility map goes stale.	backend transactions-and-isolation ACID MVCC isolation locking
What is write skew, and why does snapshot isolation permit it?	Two transactions read the same set, then write *different* rows, jointly breaking an invariant. No transaction writes a row the other read, so there is no version conflict to detect -- only Serializable tracks predicate conflicts.	backend transactions-and-isolation ACID MVCC isolation locking
Three ways to defend against write skew?	Run Serializable and retry `40001`; materialise the conflict by locking a row that represents the invariant; or encode the invariant as a unique or check constraint so it holds regardless of isolation level.	backend transactions-and-isolation ACID MVCC isolation locking
How does Postgres Repeatable Read differ from MySQL InnoDB Repeatable Read?	Postgres raises `40001` if you update a row changed since your snapshot. MySQL lets locking reads (`FOR UPDATE`, and the internal reads of `UPDATE`/`DELETE`) see the latest committed row instead of your snapshot, mixing two points in time silently. MySQL also uses gap locks to block phantoms.	backend transactions-and-isolation ACID MVCC isolation locking
What is SSI and what does it demand from the application?	Serializable Snapshot Isolation detects dangerous read/write dependency structures using non-blocking predicate locks and aborts one transaction with `40001`. The application must retry the entire transaction with jitter; aborts are the mechanism, not a bug.	backend transactions-and-isolation ACID MVCC isolation locking
When is optimistic concurrency better than `SELECT FOR UPDATE`?	When conflicts are rare and the decision takes a long time -- a user editing a form. No lock is held while thinking. It degrades under high contention, where a bounded pessimistic lock is better.	backend transactions-and-isolation ACID MVCC isolation locking
What removes a whole class of deadlocks?	Consistent lock ordering -- acquire rows in a deterministic total order, e.g. `WHERE id IN (...) ORDER BY id FOR UPDATE`, so two transactions can never hold locks the other needs in the opposite order.	backend transactions-and-isolation ACID MVCC isolation locking
What is the first artefact of a data-modelling exercise?	An access-pattern inventory: each read and write with its rate, latency target and consistency requirement. The ratios in that table determine whether you can afford fan-out-on-write, denormalised counters, or a separate search store.	backend data-modeling modelling NoSQL DynamoDB schema
Why does DynamoDB push you toward single-table design?	It offers one efficient primitive -- fetch items by partition key, narrowed and sorted by sort key. With no joins and no efficient non-key filters, the only way to serve a pattern in one round trip is to co-locate heterogeneous item types under a shared partition key.	backend data-modeling modelling NoSQL DynamoDB schema
Why encode status in a DynamoDB sort key rather than as an attribute?	`FilterExpression` is applied after items are read, so you pay for every item in the partition. `begins_with(SK, 'TASK#OPEN#')` reads only matching items. The cost is that changing status means delete-and-insert, since key attributes are immutable.	backend data-modeling modelling NoSQL DynamoDB schema
What is a sparse GSI and why is it useful?	Only items carrying the index key attributes are projected into it. Adding `GSI1PK` to task items alone gives you an index containing tasks and nothing else, so you pay storage and write cost only for those items.	backend data-modeling modelling NoSQL DynamoDB schema
Distinguish denormalisation from temporal snapshotting.	Denormalisation copies a live shared fact (display name on posts) and needs a fan-out job plus a reconciler. A temporal snapshot records a fact as of an instant (price at purchase) and must *never* be updated -- it is not a duplicate at all.	backend data-modeling modelling NoSQL DynamoDB schema
What single rule keeps denormalisation survivable?	Exactly one source of truth, and every derived copy must be rebuildable from it by a batch job. Then a fan-out bug is an inconvenience rather than permanent data loss.	backend data-modeling modelling NoSQL DynamoDB schema
When is `jsonb` the wrong choice?	As soon as a query filters on a value inside it or code branches on it. You lose type checking, `NOT NULL`, foreign keys and good selectivity estimates, and you need an expression or GIN index per access path.	backend data-modeling modelling NoSQL DynamoDB schema
Why are columnar stores 10-100x faster for analytics?	Each column is stored contiguously, so a query referencing 3 of 60 columns reads only those bytes, and per-column uniformity gives 5-20x compression. The trade is that reconstructing a single whole row requires many separate column reads.	backend data-modeling modelling NoSQL DynamoDB schema
When does a graph database beat a recursive CTE?	When traversal depth is variable and unknown at query time -- shortest path, unbounded permission inheritance -- and traversal is a core product feature. Depth-2 questions are two joins, and bounded hierarchies are a depth-capped, cycle-safe recursive CTE.	backend data-modeling modelling NoSQL DynamoDB schema
Why is the difference between a 95% and 90% hit rate so significant?	It doubles origin load. At 50,000 rps total, 95% leaves 2,500 rps on the database and 90% leaves 5,000. The cache is sized to make the database survivable, so hit rate directly determines whether it does.	backend server-side-caching Redis cache-aside stampede eviction
Describe cache stampede and the three composable defences.	At TTL expiry every concurrent request for a hot key misses and runs the expensive load at once. Defend with in-process request coalescing, a `SET NX` rebuild lock across instances, and a soft/hard TTL so a stale copy is served while one caller rebuilds. Jitter TTLs so keys do not expire together.	backend server-side-caching Redis cache-aside stampede eviction
What is probabilistic early expiry?	Each reader refreshes with a probability rising near expiry, weighted by measured recompute cost -- `now - delta * beta * ln(random()) >= expiry`. It spreads refreshes across the window with no locks or coordination, and refreshes expensive keys earlier.	backend server-side-caching Redis cache-aside stampede eviction
Why can you not scale a hot Redis key by adding nodes?	A key hashes to exactly one of 16,384 slots, owned by one node, executing commands on one thread -- roughly 100,000 ops/s. Mitigate with a short-TTL local cache in front, key replication across suffixes, or client-side caching.	backend server-side-caching Redis cache-aside stampede eviction
Why should cache data and locks live in different Redis instances?	They need opposite `maxmemory-policy` values. A cache wants `allkeys-lfu` so it discards under pressure; locks and queues want `noeviction` so they error instead, because silently evicting a lock breaks mutual exclusion.	backend server-side-caching Redis cache-aside stampede eviction
What do you lose on a Redis failover?	Replication is asynchronous, so a promoted replica may be missing writes the primary already acknowledged. RDB loses everything since the last snapshot; AOF with `appendfsync everysec` loses up to a second. This is why Redis locks need fencing tokens.	backend server-side-caching Redis cache-aside stampede eviction
Delete or update the cache on write, and why?	Delete. An update is a second write that can fail independently, and concurrent writers can apply updates in the opposite order to their commits, leaving a permanently stale value. Delete also avoids caching keys nobody reads. Invalidate after the commit, never inside the transaction.	backend server-side-caching Redis cache-aside stampede eviction
What is negative caching and when do you need it?	Caching the absence of a value with a short TTL and a sentinel. Without it, every request for a missing key reaches the database, so a scanner probing random ids drives your hit rate to zero. A Bloom filter handles very sparse key spaces.	backend server-side-caching Redis cache-aside stampede eviction
Why is `KEYS *` dangerous, and what else is on that list?	Redis executes commands on one thread, so an O(N) command on a large collection blocks every client. Also avoid `HGETALL` on huge hashes, `SMEMBERS` on large sets, `ZRANGE 0 -1`, and `DEL` of big collections -- use `SCAN`, `HSCAN` and `UNLINK`.	backend server-side-caching Redis cache-aside stampede eviction
Why does adding one shard to a `mod N` scheme move most of the data?	A key only stays put when `h mod N == h mod (N+1)`, true for roughly 1 in N+1 keys. Going 4 to 5 shards relocates ~80% of rows. Consistent hashing moves only `1/(N+1)`, about 20%, and only from neighbouring arcs.	backend sharding-and-partitioning sharding consistent-hashing rebalancing
What problem do virtual nodes solve?	With one ring position per shard, random arcs are very uneven and one shard can own double its share. Giving each shard 128-256 positions averages the arcs out, and on failure the dead shard's load spreads across many neighbours instead of one.	backend sharding-and-partitioning sharding consistent-hashing rebalancing
What are the four properties of a good shard key?	High cardinality, uniform access (no hot values), present in most queries, and aligned with your transaction boundary so atomic writes stay on one shard.	backend sharding-and-partitioning sharding consistent-hashing rebalancing
Why is a fan-out query worse at p99 than a single-shard query?	It completes only when the slowest shard responds. With per-shard p99 of 10 ms and 50 shards, the chance all are fast is 0.99^50 = ~60%, so the fan-out p99 approaches a single shard's p99.98. Widening the fleet makes it worse.	backend sharding-and-partitioning sharding consistent-hashing rebalancing
Local vs global secondary index?	A local index covers only the rows on its own shard, so a lookup without the shard key must scatter-gather. A global index is its own table sharded on the index key -- one lookup, but the write is cross-shard and therefore eventually consistent.	backend sharding-and-partitioning sharding consistent-hashing rebalancing
How do you handle a celebrity key that exceeds one partition's throughput?	Cache reads with request collapsing; salt writes across N sub-keys and merge on read; or, with a directory scheme, pin the key to a dedicated shard. Hashing does not help -- one key is one key.	backend sharding-and-partitioning sharding consistent-hashing rebalancing
Safe order of operations for a live reshard?	Runtime shard map, then idempotent double-writes, throttled resumable backfill, checksum verification, gradual read shift (1% -> 10% -> 50%), then flip writes while still writing back to the old shard so rollback remains possible.	backend sharding-and-partitioning sharding consistent-hashing rebalancing
What should you try before sharding?	Missing indexes, moving analytics to a replica or warehouse, functionally partitioning the largest append-only table into its own store, archiving cold rows, caching with collapsing, and a bigger instance. Sharding is a 2-4x engineering cost multiplier.	backend sharding-and-partitioning sharding consistent-hashing rebalancing
What exactly is the data-loss window on asynchronous failover?	The current replication lag at the instant the leader dies, measured in log bytes. Every write acknowledged but not yet shipped is permanently gone, and the client was told it committed. Alert on lag in bytes, not seconds.	backend replication-and-consistency replication CAP quorum consistency
Why prefer semi-synchronous over fully synchronous replication?	Fully sync couples write availability to one specific replica -- if it is slow, writes block. Semi-sync (`ANY 1 (a,b,c)`) requires any one of several, so a single sick replica cannot stall the write path while still guaranteeing no single-node data loss.	backend replication-and-consistency replication CAP quorum consistency
State CAP precisely.	During a network partition, a system must choose between remaining available (every non-failing node answers every request) and remaining linearisable. Partition tolerance is not a choice. CAP says nothing about the healthy case, which is why PACELC is more useful.	backend replication-and-consistency replication CAP quorum consistency
What does PACELC add?	The else-branch: when there is no Partition, you still trade Latency against Consistency. That is the decision behind every "can this read go to a replica" call, and it applies on a perfectly healthy network.	backend replication-and-consistency replication CAP quorum consistency
What does `R + W > N` guarantee, and what does it not?	It guarantees the read set overlaps the write set, so a read can observe the latest committed write. It does not give ordering or atomicity -- concurrent read-modify-writes can still lose updates, so compare-and-set needs a lightweight transaction.	backend replication-and-consistency replication CAP quorum consistency
How do you implement read-your-writes properly?	Return the leader's log position (LSN/GTID/`operationTime`) from the write, have the client carry it, and make the replica either wait until it has replayed past that position or forward the read to the leader. Sticky-to-leader routing works but concentrates load.	backend replication-and-consistency replication CAP quorum consistency
What is monotonic reads and how do you get it?	A guarantee that a session never sees time run backwards. Achieve it by pinning the session to one replica (hash the session ID) rather than round-robining, and only ever re-pin forward on failover.	backend replication-and-consistency replication CAP quorum consistency
